0.103356	2.58924	1	1	0.103356	2.58924	0	2.75	0	1
0.0698606	3.06619	-0.0773971	1.19125	0.0698	3.0662	-0.0282	3.1487	-0.1253	0.9921
-0.165329	3.67125	-0.593221	1.53207	-0.174706	3.66724	-0.1062	3.5408	-0.2487	0.9686
-0.202555	3.64986	0.00807186	-0.139981	-0.1781	3.5387	-0.2327	3.92	-0.3681	0.9298
-0.306926	4.05656	-0.261826	0.823039	-0.348113	4.37487	-0.4058	4.2803	-0.4818	0.8763
-0.461762	4.73774	-0.408523	1.82164	-0.4693	4.8047	-0.6226	4.6162	-0.5878	0.809
-0.90326	4.94459	-1.21229	0.983991	-0.82281	4.46329	-0.8798	4.9222	-0.6845	0.729
-1.11611	5.25747	-0.505475	0.745864	-1.089	5.2391	-1.1734	5.1935	-0.7705	0.6374
-1.52023	5.49044	-1.03454	0.522981	-1.55057	5.49762	-1.4986	5.4259	-0.8443	0.5358
-1.86893	5.64878	-0.863501	0.374869	-1.8614	5.6379	-1.8504	5.6157	-0.9048	0.4258
-2.17995	6.01023	-0.65771	0.646704	-2.24216	6.23511	-2.2232	5.76	-0.9511	0.309
-2.61114	6.01832	-1.04262	-0.0248944	-2.6188	5.9807	-2.6111	5.8563	-0.9823	0.1874
-3.47522	5.79321	-2.31955	-0.448339	-3.49713	5.65937	-3.0081	5.9033	-0.998	0.0628
-3.43339	6.10368	-0.00326911	0.694986	-3.3545	6.1392	-3.4078	5.9002	-0.998	-0.0628
-4.33918	5.71983	-2.48382	-0.986765	-4.38043	5.43127	-3.804	5.847	-0.9823	-0.1874
-4.08987	5.8059	0.416203	0.0509763	-3.9895	5.826	-4.1904	5.7445	-0.9511	-0.309
-4.55725	5.57513	-1.05868	-0.962723	-4.82176	5.66107	-4.5609	5.5945	-0.9048	-0.4258
-4.81263	5.40932	-0.690885	-0.411578	-4.8055	5.4347	-4.9097	5.3991	-0.8443	-0.5358
-5.02605	5.3387	-0.207682	-0.479604	-5.17537	5.52535	-5.2312	5.1616	-0.7705	-0.6374
-5.45697	4.97215	-1.05939	-0.833816	-5.4931	4.9696	-5.5205	4.8857	-0.6846	-0.729
-5.53718	4.79364	0.128603	-0.623941	-5.57274	4.90241	-5.7729	4.5757	-0.5878	-0.809
-5.83898	4.25425	-0.733127	-1.24637	-5.8755	4.2415	-5.9844	4.2365	-0.4818	-0.8763
-5.97424	3.82798	-0.454997	-0.962388	-5.8516	3.78457	-6.1517	3.8735	-0.3681	-0.9298
-6.115	3.52582	-0.360895	-0.770677	-6.1123	3.5322	-6.2723	3.4924	-0.2487	-0.9686
-6.28409	3.02015	-0.07544	-1.48181	-6.45829	3.06013	-6.3441	3.0991	-0.1253	-0.9921
-6.20235	2.9737	0.124356	-0.183322	-6.2077	3.0219	-6.3661	2.7	0	-1
-6.15305	2.58219	0.101592	-1.02827	-6.10566	2.51328	-6.3378	2.3013	0.1253	-0.9921
-6.486	1.76245	-0.853744	-1.96119	-6.5321	1.7382	-6.2599	1.9092	0.2487	-0.9686
-6.39161	1.67396	-0.10123	-0.0348037	-5.98759	1.67771	-6.1333	1.53	0.3681	-0.9298
